Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1950,-.32,-.29,.03,-.12,-.15,-.08,-.04,-.26,-.06,-.11,-.26,-.08,-.14,-.16,-.28,-.08,-.13,-.14
1951,-.27,-.35,-.1,.02,.04,.05,.08,.12,.07,.09,-.03,.14,-.01,-.03,-.23,-.01,.08,.05
1952,.09,.13,-.06,.04,-.04,-.03,.11,.13,.1,-.02,-.13,.04,.03,.04,.12,-.02,.07,-.02
1953,.1,.18,.15,.19,.06,.07,.06,.1,.07,.06,.02,.1,.1,.09,.11,.14,.08,.05
1954,-.21,-.03,-.03,-.11,-.13,-.14,-.16,-.16,-.18,.02,.16,-.12,-.09,-.07,-.05,-.09,-.15,.0
1955,.18,-.11,-.26,-.12,-.15,-.09,-.03,.18,-.09,.04,-.18,-.3,-.08,-.06,-.02,-.18,.02,-.08
1956,-.12,-.2,-.17,-.22,-.2,-.05,-.04,-.23,-.11,-.19,-.09,-.06,-.14,-.16,-.21,-.2,-.11,-.13
1957,-.1,.02,.05,.13,.13,.13,.03,.14,.13,.02,.12,.14,.08,.06,-.05,.1,.1,.09
1958,.4,.2,.14,.03,.02,-.14,.03,-.03,-.02,.1,.07,.06,.07,.08,.25,.07,-.05,.05
1959,.13,.09,.22,.11,.11,.03,-.01,-.03,-.13,-.04,-.08,.03,.04,.04,.1,.15,.0,-.08
1960,.0,.15,-.29,-.16,-.07,-.09,-.06,.05,.05,.04,-.08,.18,-.02,-.04,.06,-.17,-.03,.0
1961,.07,.22,.08,.11,.22,.16,.0,.09,.07,.11,.1,-.06,.1,.12,.16,.14,.08,.09
1962,.09,.22,.13,.15,-.05,.11,.02,.01,.19,.12,.15,.06,.1,.09,.08,.07,.05,.15
1963,.05,.25,-.19,-.1,-.02,.11,.23,.28,.26,.08,.13,.1,.1,.09,.12,-.1,.21,.16
1964,-.08,-.12,-.21,-.38,-.34,-.07,-.09,-.23,-.4,-.29,-.19,-.29,-.22,-.19,-.03,-.31,-.13,-.29
1965,-.08,-.18,-.11,-.23,-.07,-.09,-.18,-.1,-.17,-.08,-.11,-.06,-.12,-.14,-.18,-.14,-.12,-.12
1966,-.17,-.03,.11,-.1,-.13,-.07,.11,-.06,.02,-.16,-.02,-.09,-.05,-.05,-.09,-.04,-.01,-.05
1967,-.1,-.22,.07,-.02,.13,-.1,.08,.01,.02,.1,-.02,-.01,-.01,-.01,-.14,.06,-.01,.03
1968,-.28,-.14,.17,-.05,-.09,.03,-.11,-.03,-.15,.07,-.07,-.16,-.07,-.06,-.14,.01,-.04,-.05
1969,-.08,-.15,-.05,.16,.09,.19,-.09,-.06,.06,.1,.13,.28,.05,.01,-.13,.07,.01,.1
1970,.14,.18,.1,.03,-.08,.01,-.02,-.13,.12,.02,.0,-.12,.02,.06,.2,.02,-.04,.05
1971,.03,-.16,-.18,-.04,-.07,-.26,-.1,.03,-.02,-.02,-.04,-.08,-.08,-.08,-.08,-.09,-.11,-.03
1972,-.25,-.17,-.02,.02,-.02,.0,-.01,.19,.07,.06,-.02,.17,.0,-.02,-.17,.0,.06,.04
1973,.25,.23,.16,.23,.2,.11,.03,.05,.03,.13,.03,-.08,.11,.14,.22,.2,.06,.06
1974,-.14,-.27,-.05,-.17,-.07,-.05,.04,.08,-.08,-.1,-.12,-.1,-.08,-.08,-.16,-.09,.03,-.1
1975,.03,.06,.12,-.04,.14,-.05,-.14,-.32,-.14,-.16,-.18,-.24,-.08,-.07,.0,.07,-.17,-.16
1976,-.11,-.09,-.3,-.15,-.33,-.19,-.15,-.23,-.15,-.29,-.13,-.07,-.18,-.2,-.15,-.26,-.19,-.19
1977,.06,.06,.1,.12,.34,.26,.18,.18,-.06,-.06,.14,.0,.11,.1,.02,.19,.2,.01
1978,.07,.18,.11,.13,.13,-.05,.06,-.2,.1,-.02,.09,.05,.05,.05,.08,.12,-.07,.06
1979,.1,-.19,.11,.16,-.05,.06,-.04,.06,.2,.14,.17,.35,.09,.06,-.02,.08,.03,.17
1980,.2,.24,.19,.25,.3,.13,.18,.12,.14,.12,.19,.14,.18,.2,.26,.25,.14,.15
1981,.47,.36,.44,.24,.17,.24,.39,.35,.13,.08,.2,.37,.29,.27,.32,.28,.33,.14
1982,.06,.12,-.11,.08,.2,.05,.13,-.05,.04,.11,.03,.35,.08,.09,.18,.06,.04,.06
1983,.38,.31,.29,.31,.26,.19,.06,.36,.34,.02,.19,.18,.24,.26,.35,.29,.2,.19
1984,.25,.1,.22,.02,.34,-.05,.16,.1,.23,.05,.03,-.08,.11,.14,.18,.19,.07,.1
1985,.18,-.15,.15,.07,.02,.12,.13,.11,.17,.09,.05,.13,.09,.07,-.02,.08,.12,.1
1986,.19,.37,.28,.22,.1,.03,.05,.15,.15,.12,.1,.11,.15,.16,.23,.2,.08,.12
1987,.29,.35,.15,.22,.13,.19,.39,.21,.33,.2,.29,.44,.27,.24,.25,.17,.27,.27
1988,.51,.35,.47,.33,.35,.38,.26,.18,.21,.19,-.09,.24,.28,.3,.43,.38,.27,.11
1989,.11,.31,.27,.12,.04,.1,.36,.33,.33,.25,.13,.29,.22,.22,.22,.14,.26,.23
1990,.29,.35,.7,.5,.4,.31,.5,.28,.16,.39,.42,.35,.38,.38,.31,.53,.36,.32
1991,.37,.41,.38,.49,.31,.43,.54,.43,.32,.22,.23,.2,.36,.37,.38,.39,.47,.25
1992,.39,.37,.35,.1,.18,.12,-.08,-.04,-.11,-.04,-.03,.14,.11,.12,.32,.21,.0,-.06
1993,.27,.28,.31,.2,.21,.04,.03,.07,-.04,.15,.02,.13,.14,.14,.23,.24,.05,.04
1994,.24,-.02,.24,.21,.18,.32,.2,.13,.31,.33,.35,.31,.23,.22,.12,.21,.22,.33
1995,.47,.67,.45,.41,.21,.36,.49,.35,.28,.42,.37,.28,.4,.4,.48,.36,.4,.36
1996,.32,.47,.39,.18,.25,.18,.43,.37,.27,.23,.36,.33,.31,.31,.36,.27,.33,.28
1997,.33,.3,.42,.27,.31,*,*,*,*,*,*,*,*,*,.32,.33,*,*
